Area,Type,Annual_Avg_AQI,Price_per_sqft,Green_Space_%,Metro_Access,IT_Hub_Distance_km,Hospital_Distance_km,School_Rating,Connectivity_Score,Safety_Score,AQI_Category,Price_Category,Green_Category,Livability_Score
Attibele,Industrial,144,5574,3,FALSE,30,8,3.1,3,5,Moderate,Budget,Low,10.5
Banashankari,Developing,113,16188,20.3,TRUE,16,3,4.3,7,8,Moderate,Mid-Range,Medium,36.6
Bannerghatta Road,Tech Hub,106,14024,23.2,TRUE,8,3,4,7,7,Moderate,Mid-Range,Medium,36.3
Basavanagudi,Central,89,19728,20.9,TRUE,14,2,4.5,7,8,Good,Mid-Range,Medium,43.2
Bellandur,Tech Hub,118,19873,6.2,TRUE,3,5,4.2,7,7,Moderate,Mid-Range,Low,30.1
Bommanahalli,Tech Hub,117,12767,7.3,TRUE,7,4,3.9,6,6,Moderate,Mid-Range,Low,26.6
CV Raman Nagar,Tech Hub,121,15980,9.7,TRUE,6,4,4,7,7,Moderate,Mid-Range,Low,29.8
Chickpet,Central,117,14343,3,TRUE,20,2,3.5,6,5,Moderate,Mid-Range,Low,23.2
Chikkabanavara,Suburban,76,7215,56.4,TRUE,35,8,3.5,3,8,Good,Budget,Very High,45
Cunningham Road,Central,85,36569,7.2,TRUE,14,1,4.7,9,9,Good,Luxury,Low,47
Dasarahalli,Industrial,133,9570,3,TRUE,28,7,3.4,4,5,Moderate,Budget,Low,15.4
Domlur,Central,94,25071,16.6,FALSE,8,2,4.4,8,7,Good,Premium,Medium,40.4
Electronic City,Industrial,148,12866,3,TRUE,1,5,3.8,7,6,Moderate,Mid-Range,Low,19.2
Frazer Town,Central,92,20555,15.4,TRUE,15,3,4.1,7,7,Good,Premium,Medium,38.5
Ganganagar,Suburban,87,8710,45,FALSE,28,7,3.7,4,8,Good,Budget,High,41.9
HBR Layout,Developing,100,17375,17.1,TRUE,15,4,4.2,6,7,Good,Mid-Range,Medium,35.4
HSR Layout,Tech Hub,101,20080,19,TRUE,5,2,4.4,8,8,Moderate,Premium,Medium,41.2
Hebbal,Suburban,112,12318,26.9,FALSE,20,4,4.1,6,7,Moderate,Mid-Range,Medium,34.2
Horamavu,Suburban,95,10398,36.1,FALSE,30,7,3.9,4,8,Good,Budget,High,38.6
Indiranagar,Central,98,29299,11.3,TRUE,8,2,4.5,9,8,Good,Premium,Low,42.1
Jakkur,Suburban,88,14032,45.7,FALSE,22,5,4.2,5,9,Good,Mid-Range,Very High,46.5
Jalahalli,Suburban,114,9181,32.3,TRUE,28,6,3.8,4,7,Moderate,Budget,High,31
Jayanagar,Central,99,21699,23.4,TRUE,12,2,4.6,8,9,Good,Premium,Medium,44.9
Jeevan Bhima Nagar,Developing,103,13731,15.9,TRUE,12,3,4.1,6,7,Moderate,Mid-Range,Medium,34.3
KR Puram,Industrial,135,10818,3,TRUE,15,5,3.6,6,6,Moderate,Budget,Low,20.6
Kalyan Nagar,Suburban,95,14370,28.4,TRUE,18,4,4.2,6,8,Good,Mid-Range,Medium,40.9
Kasturi Nagar,Developing,113,15040,17.7,TRUE,18,5,3.9,5,7,Moderate,Mid-Range,Medium,30.1
Kengeri,Suburban,106,9320,29.5,TRUE,25,6,3.7,4,7,Moderate,Budget,Medium,32.2
Koramangala,Central,93,24211,10,TRUE,6,1,4.7,9,8,Good,Premium,Low,43.6
